time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1708937520.91949010,0.04362051,53517,0.00057663,0.00000000,0,0.00000073,73574,73633,207,0.00460389
1708937521.01951861,0.03709422,53331,0.00136743,0.00000000,0,0.00000076,73633,73688,217,0.01026935
1708937521.11942506,0.03440638,51077,0.00084411,0.00000000,0,0.00000076,73688,73801,209,0.00453467
1708937521.21955252,0.04373529,52799,0.00056614,0.00000000,0,0.00000087,73801,73874,174,0.00260376
1708937521.31950498,0.05090225,53410,0.00105403,0.00000000,0,0.00000078,73874,73145,166,0.00436699
1708937521.41956806,0.04779621,53510,0.00080962,0.00000000,0,0.00000076,73145,73244,189,0.00636423
1708937521.51958799,0.04570763,52767,0.00119538,0.00000000,0,0.00000064,73244,73347,194,0.00532149
1708937521.61953735,0.03559183,52175,0.00090529,0.00000000,0,0.00000069,73347,73402,188,0.00947939
1708937521.71959424,0.04334416,46970,0.00084546,0.00000000,0,0.00000070,73402,73367,176,0.00655856
1708937521.81959820,0.04625771,51108,0.00046408,0.00000000,0,0.00000110,73367,73407,147,0.00600924
1708937521.91941404,0.04177240,51424,0.00045129,0.00000000,0,0.00000077,73407,73494,139,0.00393400
1708937522.01949477,0.04415200,50984,0.00073578,0.00000000,0,0.00000085,73494,73610,164,0.00292524
1708937522.11957932,0.04159865,52237,0.00052040,0.00000000,0,0.00000070,73610,73713,169,0.00713516
1708937522.21957994,0.04376557,52734,0.00075651,0.00000000,0,0.00000074,73713,73775,150,0.00242610
1708937522.31948543,0.05795147,52594,0.00076088,0.00000000,0,0.00000121,73775,73849,234,0.00624342
1708937522.41956520,0.03753132,51894,0.00050506,0.00000000,0,0.00000150,73849,73895,163,0.00364399
1708937522.51947474,0.04075085,52983,0.00052989,0.00000000,0,0.00000074,73895,73967,160,0.00581472
1708937522.61946154,0.04924320,53797,0.00042418,0.00000000,0,0.00000064,73967,74037,135,0.00385659
1708937522.71956015,0.04586192,51721,0.00070825,0.00000000,0,0.00000081,74037,74114,149,0.00658103
1708937522.81952071,0.05327967,52305,0.00054141,0.00000000,0,0.00000097,74114,74204,155,0.00310280
1708937522.91957450,0.03493957,53874,0.00054099,0.00000000,0,0.00000070,74204,74280,184,0.00530374
1708937523.01951480,0.04210333,53255,0.00092272,0.00000000,0,0.00000102,74280,74275,143,0.00639935
1708937523.11957669,0.03767228,53925,0.00044529,0.00000000,0,0.00000074,74275,74328,149,0.00785809
1708937523.21960258,0.03282416,54097,0.00041462,0.00000000,0,0.00000079,74328,74331,144,0.00426803
